Country,Data source,Sector,Gas,Unit,2016,2015,2014,2013,2012,2011
Dominican Republic,CAIT,Agriculture,CH4,MtCO₂e,6.2,6.01,6.02,6,5.97,5.99
Guatemala,CAIT,Agriculture,CH4,MtCO₂e,6.1,5.97,5.84,5.6,5.54,5.46
Denmark,CAIT,Agriculture,CH4,MtCO₂e,6.06,6.04,6.02,6.09,6.14,6.16
Ghana,CAIT,Agriculture,CH4,MtCO₂e,5.38,5.53,5.26,5.31,4.82,5.62
Chile,CAIT,Agriculture,CH4,MtCO₂e,5.23,5.08,5.63,5.64,6.79,6.78
Austria,CAIT,Agriculture,CH4,MtCO₂e,4.83,4.84,4.83,4.83,4.87,4.96
Portugal,CAIT,Agriculture,CH4,MtCO₂e,4.78,4.74,4.59,4.47,4.54,4.56
Malaysia,CAIT,Agriculture,CH4,MtCO₂e,4.73,4.74,4.63,4.87,4.87,4.9
Yemen,CAIT,Agriculture,CH4,MtCO₂e,4.63,4.77,4.83,4.75,4.68,4.63
Honduras,CAIT,Agriculture,CH4,MtCO₂e,4.49,4.41,4.42,4.4,4.34,4.31
Tajikistan,CAIT,Agriculture,CH4,MtCO₂e,4.46,4.32,4.15,4.09,3.95,3.74
Greece,CAIT,Agriculture,CH4,MtCO₂e,4.29,4.19,4.3,4.4,4.63,4.64
Azerbaijan,CAIT,Agriculture,CH4,MtCO₂e,4.02,4.07,4.04,4.02,3.98,3.94
Syria,CAIT,Agriculture,CH4,MtCO₂e,3.95,3.88,3.87,3.92,3.93,3.93
Switzerland,CAIT,Agriculture,CH4,MtCO₂e,3.93,3.95,3.99,4,4.03,4.06
Sri Lanka,CAIT,Agriculture,CH4,MtCO₂e,3.93,4.14,4,4.97,4.73,4.72
Namibia,CAIT,Agriculture,CH4,MtCO₂e,3.83,4.09,4.18,4.53,7.83,7.19
Côte d'Ivoire,CAIT,Agriculture,CH4,MtCO₂e,3.65,3.21,3.08,3.55,3.14,3.11
Iraq,CAIT,Agriculture,CH4,MtCO₂e,3.6,3.48,4.64,4.62,4.9,4.77
North Korea,CAIT,Agriculture,CH4,MtCO₂e,3.55,3.53,3.78,3.9,4.02,4.01
Kyrgyzstan,CAIT,Agriculture,CH4,MtCO₂e,3.46,3.37,3.32,3.21,3.1,3.03
Sweden,CAIT,Agriculture,CH4,MtCO₂e,3.38,3.38,3.48,3.48,3.5,3.54
Serbia,CAIT,Agriculture,CH4,MtCO₂e,3.31,3.44,3.48,3.4,3.47,3.53
Benin,CAIT,Agriculture,CH4,MtCO₂e,3.29,3,2.98,3.04,2.94,2.99
Haiti,CAIT,Agriculture,CH4,MtCO₂e,3.08,3.02,3.01,3.02,3.01,3.01
Czech Republic,CAIT,Agriculture,CH4,MtCO₂e,3.02,3,2.95,2.92,2.91,2.92
Eritrea,CAIT,Agriculture,CH4,MtCO₂e,2.97,2.95,2.93,2.92,2.9,2.88
Malawi,CAIT,Agriculture,CH4,MtCO₂e,2.77,2.59,2.42,2.29,2.2,2.06
Saudi Arabia,CAIT,Agriculture,CH4,MtCO₂e,2.77,2.74,2.7,2.81,2.61,2.55
Sierra Leone,CAIT,Agriculture,CH4,MtCO₂e,2.64,2.12,2.31,2.42,2.48,2.12
Botswana,CAIT,Agriculture,CH4,MtCO₂e,2.62,2.72,3.23,4.3,5.1,12.46
Norway,CAIT,Agriculture,CH4,MtCO₂e,2.52,2.47,2.43,2.46,2.47,2.49
Hungary,CAIT,Agriculture,CH4,MtCO₂e,2.5,2.47,2.44,2.41,2.29,2.36
Costa Rica,CAIT,Agriculture,CH4,MtCO₂e,2.46,2.32,2.31,2.33,2.28,2.37
Panama,CAIT,Agriculture,CH4,MtCO₂e,2.41,2.39,2.52,2.66,2.66,2.67
